1  1.0000000000000001e-05  0.091280000624163804  22109.999922236824	1  0.150087  0.249144  0.100058
2  3.7603625984690535e-05  0.091280002347082223  22109.99970758229	2  0.150087  0.249144  0.100058
3  7.563426677488185e-05  0.091280004720817168  22109.999411844001	3  0.150087  0.249144  0.100058
4  0.00015212727065532557  0.091280009495233613  22109.998817010233	4  0.150087  0.249144  0.100058
5  0.00030598117036056055  0.091280019098237158  22109.997620593698	5  0.150087  0.249144  0.100058
6  0.00061543248733754192  0.091280038413068296  22109.995214202652	6  0.150087  0.249144  0.100058
7  0.0012378313943371736  0.091280077260955314  22109.990374233319	7  0.150087  0.249144  0.100058
8  0.0024896068907450828  0.091280155392251136  22109.980640037113	8  0.150087  0.249144  0.100058
9  0.0050069276327596472  0.09128031251430152  22109.961064579787	9  0.150086  0.249144  0.100057
10  0.010068314516404489  0.091280628427760191  22109.921705736135	10  0.150086  0.249144  0.100057
11  0.017137410973418657  0.09128106965521525  22109.866734461619	11  0.150086  0.249144  0.100056
12  0.024205960250254847  0.0912815108485696  22109.811767571635	12  0.150085  0.249144  0.100055
13  0.03127396154236374  0.091281952007794584  22109.75680506945	13  0.150085  0.249144  0.100055
14  0.03834141444004148  0.091282393132886164  22109.70184695526	14  0.150085  0.249144  0.100054
15  0.045408318768480421  0.091282834223854969  22109.646893227538	15  0.150084  0.249144  0.100053
16  0.052474674481907214  0.091283275280719667  22109.591943883544	16  0.150084  0.249144  0.100053
17  0.059540481603432137  0.09128371630350321  22109.536998920259	17  0.150083  0.249144  0.100052
18  0.066605740194026153  0.091284157292230925  22109.482058334121	18  0.150083  0.249144  0.100051
19  0.07367045033931327  0.091284598246929638  22109.427122121531	19  0.150083  0.249144  0.100051
20  0.080734612149180873  0.091285039167627702  22109.372190278704	20  0.150082  0.249144  0.10005
21  0.090283641391030386  0.091285635185604605  22109.297935945815	21  0.150082  0.249144  0.100049
22  0.10949014999027205  0.091286833992223315  22109.148584499409	22  0.150081  0.249144  0.100047
23  0.14812129910813732  0.09128924522844474  22108.848187368276	23  0.150078  0.249144  0.100044
24  0.21480463745077599  0.091293407428872764  22108.329660446623	24  0.150075  0.249144  0.100037
25  0.31224816139926076  0.091299489709945877  22107.571950424448	25  0.150069  0.249143  0.100028
26  0.45460973528369009  0.091308376050595746  22106.464962702288	26  0.150061  0.249143  0.100015
27  0.66278032120093278  0.091321371312341304  22104.846206133552	27  0.15005  0.249143  0.0999947
28  0.96776136602048457  0.091340413387784689  22102.474401374202	28  0.150032  0.249143  0.0999654
29  1.4159614897539319  0.09136840808920961  22098.98782905651	29  0.150007  0.249142  0.0999222
30  2.0777634514656205  0.091409777780992449  22093.836086305717	30  0.14997  0.249141  0.0998577
31  3.0554138225312939  0.091470998223875652  22086.213257673022	31  0.149914  0.24914  0.0997611
32  4.3672435989136638  0.091553435423653642  22075.949299885859	32  0.149839  0.249138  0.099629
33  6.0844904472551811  0.091662064783904151  22062.42297203749	33  0.149739  0.249135  0.0994516
34  8.2645022375474433  0.091801586308646224  22045.042930446853	34  0.14961  0.249132  0.099219
35  11.063147420128862  0.091984304850011939  22022.260296548484	35  0.149442  0.249128  0.0989077
36  14.692810671678146  0.092229359202291458  21991.649341888151	36  0.149219  0.249123  0.0984808
37  19.428629101069927  0.092567316700702812  21949.301170993316	37  0.148917  0.249115  0.0978804
38  25.552952189132487  0.093044762085498042  21889.190647462528	38  0.148508  0.249105  0.0970186
39  32.466743513277706  0.093654818902373288  21811.945751501971	39  0.148018  0.249092  0.0959046
40  39.064545486397996  0.094325092260696464  21726.650784850335	40  0.147515  0.249079  0.0946629
41  45.398815660620556  0.095066093624176562  21632.035554715414	41  0.146992  0.249065  0.0932528
42  51.771439986456116  0.095923876852014048  21522.318861957265	42  0.146419  0.24905  0.091543
43  59.370088729152876  0.097115854545204397  21369.863722977942	43  0.145653  0.249029  0.0889608
44  68.119197308461978  0.098749290417629226  21161.497395814644	44  0.144626  0.249001  0.0849105
45  76.608349159341174  0.10064372759373341  20921.022939642342	45  0.143429  0.248966  0.0793087
46  84.40244762868825  0.10314508764777697  20590.837178682305	46  0.142063  0.248925  0.0716498
47  90.599365140233516  0.10651347787252947  20124.118176715969	47  0.140612  0.24888  0.0615812
48  95.299376075530603  0.11040657439674767  19582.544582213242	48  0.139068  0.248828  0.0487191
49  98.66744135129241  0.11597187200996117  18903.773894992293	49  0.1374  0.248769  0.0330396
50  100.72161746505964  0.12300589245981784  18135.886068270029	50  0.135679  0.248703  0.0171953
51  101.67592057335089  0.12991497404584107  17396.552405274935	51  0.134307  0.248646  0.00754113
52  102.08995663834494  0.13581448279521191  16817.147493207205	52  0.133379  0.248605  0.00338939
53  102.30230843964297  0.14068006153545654  16374.003688278666	53  0.132696  0.248573  0.0015629
54  102.43177196297839  0.1446265483391965  16031.009401008841	54  0.132147  0.248546  0.000734464
55  102.51949788087819  0.14811690821336743  15739.202378684569	55  0.131682  0.248522  0.000348478
56  102.58278668230308  0.15121650882724599  15487.660794332016	56  0.131274  0.248501  0.0001666
57  102.63088841839294  0.15396682132253683  15269.583157027884	57  0.130909  0.248481  8.01598e-05
58  102.66910370443259  0.1564213057543247  15078.479310615747	58  0.130573  0.248462  3.87822e-05
59  102.70071206592847  0.15861188175417693  14909.687646675608	59  0.130259  0.248444  1.88658e-05
60  102.72797496800777  0.16059184581161534  14757.769361777333	60  0.129957  0.248426  9.23283e-06
61  102.75269851148995  0.16244177576658539  14615.919952419246	61  0.129654  0.248408  4.5551e-06
62  102.77687526019668  0.16428563127486856  14474.257761373243	62  0.129328  0.248387  2.27827e-06
63  102.80423109536312  0.16639535306277492  14311.379387656572	63  0.128921  0.248361  1.1726e-06
64  102.84715194367058  0.16970743221457835  14053.903812381413	64  0.128189  0.248312  6.43978e-07
65  102.90687323261037  0.17418452412700972  13713.537855168031	65  0.126959  0.248225  3.99775e-07
66  102.96348712957482  0.17811021444895048  13439.748148637367	66  0.125559  0.248118  2.36428e-07
67  103.00968075504066  0.18105098002501535  13258.695512319016	67  0.124244  0.248013  1.42216e-07
68  103.05386955646529  0.18379597738423603  13102.610680386111	68  0.122833  0.247896  8.81672e-08
69  103.09891165587131  0.18669067123654218  12941.394139213327	69  0.121225  0.247757  5.98149e-08
70  103.14466635925012  0.18990153328047174  12757.262658765996	70  0.119388  0.247591  4.63874e-08
71  103.19002699379446  0.19352636991259256  12544.688680992092	71  0.117322  0.247395  3.9835e-08
72  103.23214147566064  0.19743683736833745  12316.440931067043	72  0.115129  0.247177  3.60965e-08
73  103.27144779555802  0.20168520500667722  12073.725767741713	73  0.112775  0.246929  3.36314e-08
74  103.30107447733316  0.20535328440771064  11870.07973628053	74  0.110757  0.246706  3.2386e-08
75  103.32405550929653  0.20863183743042091  11695.328732915033	75  0.109011  0.246504  3.18595e-08
76  103.34243831982235  0.21165962528041582  11541.172259654371	76  0.107471  0.246319  3.17578e-08
77  103.35747351998303  0.21447423674898794  11403.734251918082	77  0.106093  0.246147  3.19439e-08
78  103.37000623566888  0.2170923970763074  11280.412600012303	78  0.104847  0.245987  3.23429e-08
79  103.38063031219954  0.21952887860540948  11169.121313217767	79  0.103709  0.245836  3.29016e-08
80  103.38977218291006  0.2217993610364784  11068.107972114356	80  0.102659  0.245692  3.35784e-08
81  103.39774370871878  0.22392067737496879  10975.87120157585	81  0.101685  0.245555  3.43402e-08
82  103.40947316221502  0.22734994405396936  10831.473326495494	82  0.100128  0.245329  3.58114e-08
83  103.42842245008831  0.23404809793558889  10567.270957839488	83  0.0972146  0.244878  3.93474e-08
84  103.44287331493088  0.24049328204261755  10332.030001775192	84  0.0945659  0.244436  4.34411e-08
85  103.45362285743063  0.24624003106444534  10134.28649692806	85  0.0922629  0.244024  4.74981e-08
86  103.46221005736516  0.25133818612447956  9962.694553991947	86  0.0901611  0.243624  5.11767e-08
87  103.46968590429199  0.25588383910389184  9805.9455711564515	87  0.0881158  0.243214  5.4163e-08
88  103.47699727039026  0.26020373691454624  9648.0689132537136	88  0.0859154  0.242748  5.63175e-08
89  103.48430692019511  0.2641923865840512  9487.5537043328768	89  0.0835314  0.242215  5.72228e-08
90  103.49245320129035  0.26807276442817529  9308.7172070490888	90  0.0806952  0.241544  5.64964e-08
91  103.50450493195119  0.27250273258185992  9053.8853850435044	91  0.0762807  0.240422  5.25226e-08
92  103.51925087135353  0.27574890680915182  8769.0493246411643	92  0.0708426  0.238916  4.52597e-08
93  103.53731725506476  0.2778848774949208  8452.735226143308	93  0.0645238  0.236992  3.72193e-08
94  103.55884384246254  0.27961174757189122  8115.4576432613585	94  0.0576862  0.234673  3.06338e-08
95  103.57949261869238  0.28126094399320922  7834.0229851679051	95  0.051784  0.232438  2.65339e-08
96  103.60350511070561  0.28362920320962159  7551.2883407738273	96  0.0455972  0.229791  2.34066e-08
97  103.62987697590789  0.28736880606711945  7292.8742516911907	97  0.0394032  0.226723  2.10354e-08
98  103.65681215622912  0.2927450617543913  7074.9114175436689	98  0.0334978  0.223254  1.9083e-08
99  103.679604724428  0.2986712202858961  6917.507831983793	99  0.028694  0.219881  1.75348e-08
100  103.69716267803608  0.30416472277381501  6804.7554786841847	100  0.025078  0.21689  1.64356e-08
101  103.71100212408611  0.30929497703316783  6717.9010152634864	101  0.0222671  0.214205  1.56759e-08
102  103.72213552236175  0.31405113123068562  6646.8105062257664	102  0.0200243  0.211768  1.51573e-08
103  103.73128997134918  0.31839791385639593  6585.0064243445331	103  0.0181928  0.209534  1.48247e-08
104  103.73897946895676  0.32237126880469769  6530.2158039910091	104  0.0166659  0.207465  1.46387e-08
105  103.74555554387696  0.32604388144258306  6480.7927691684836	105  0.0153707  0.205535  1.45665e-08
106  103.75126037229094  0.32946985332736034  6435.6035118833352	106  0.0142568  0.20372  1.45824e-08
107  103.75743635861015  0.33347096938387188  6383.8000508490295	107  0.0130631  0.201584  1.47059e-08
108  103.76819109414713  0.34132851264887809  6284.5259222186996	108  0.011023  0.197321  1.52949e-08
109  103.77788067360405  0.34949097318829381  6181.3550602333135	109  0.00923819  0.192779  1.63273e-08
110  103.78582659626456  0.35707649072725794  6085.208114443607	110  0.00782953  0.188429  1.76835e-08
111  103.79246447585504  0.3641662489008306  5997.8139041477198	111  0.00670481  0.184253  1.92777e-08
112  103.79815769390567  0.37074326841401201  5914.7613960025274	112  0.00579167  0.180201  2.11024e-08
113  103.80314396499384  0.37702112715374569  5837.4207721023631	113  0.00504328  0.176236  2.30798e-08
114  103.80792183820687  0.38327705137076812  5758.0138620558628	114  0.00438489  0.17202  2.54299e-08
115  103.81274201455747  0.38981763411162179  5674.0313803556037	115  0.00379641  0.167321  2.82803e-08
116  103.81823390962178  0.39758824357007277  5570.9037787394782	116  0.00324583  0.161369  3.21365e-08
117  103.82452978220378  0.40633218008392386  5447.5277488986949	117  0.00281479  0.15376  3.74226e-08
118  103.83087103192726  0.41471439416327788  5318.0467082979321	118  0.00263905  0.145336  4.34825e-08
119  103.83654888810005  0.4215206407375845  5199.586668902878	119  0.0027176  0.137295  4.9334e-08
120  103.84197074005978  0.4273088109938194  5086.0535283453482	120  0.00298994  0.12934  5.50552e-08
121  103.84751017426575  0.4324688269954729  4970.6813965814545	121  0.0034304  0.121105  6.08469e-08
122  103.85304219082391  0.43677585994284135  4856.3660969425418	122  0.00397312  0.112948  6.65377e-08
123  103.85884714750634  0.44041275965123955  4738.5827842745566	123  0.00457302  0.104641  7.24006e-08
124  103.86569911653714  0.44359128688737859  4601.1302025463247	124  0.00522029  0.0953725  7.93495e-08
125  103.87370634260544  0.44613876766978977  4444.0525301511279	125  0.00579371  0.0854736  8.76442e-08
126  103.88673177887102  0.44805518579773979  4199.0774694587399	126  0.0062253  0.0717738  1.0239e-07
127  103.90250344710562  0.44744681641137163  3917.7062417901425	127  0.00607189  0.0588789  1.23865e-07
128  103.92032301387452  0.44408070964122215  3624.7659077744443	128  0.00541118  0.0482933  1.54021e-07
129  103.94216587325724  0.43795510380252844  3303.4316308830871	129  0.00442825  0.0394568  1.99893e-07
130  103.97175335704475  0.42798085297354005  2935.3580638072026	130  0.00327541  0.0320173  2.78296e-07
131  104.00493827534574  0.41712018788102523  2605.7894883632534	131  0.00236008  0.0270251  3.8472e-07
132  104.04177227361487  0.40698963391514276  2332.0301691819195	132  0.00170859  0.0235913  5.15422e-07
133  104.08913175529923  0.39841987545715102  2096.5730442118015	133  0.00121411  0.0207447  6.74163e-07
134  104.16498957471163  0.39462219018570643  1903.8879747431781	134  0.000828388  0.0176515  8.53152e-07
135  104.29265733535331  0.40251383443826105  1805.7813221936849	135  0.00069245  0.0135304  1.04355e-06
136  104.43840194477279  0.41613061283833458  1766.2258991696383	136  0.000891133  0.00933682  1.24003e-06
137  104.55769006608521  0.42553880363705043  1721.185624717732	137  0.00106787  0.00646801  1.34834e-06
138  104.67418534958748  0.43135913865542191  1650.8668735108542	138  0.00109546  0.00436501  1.42285e-06
139  104.80896882004815  0.43514656567672283  1554.3001675736348	139  0.000979358  0.00276015  1.49244e-06
140  104.97948098243566  0.43520899771890886  1410.3726330676293	140  0.000762814  0.00160513  1.6339e-06
141  105.1551705947266  0.4286131825472041  1238.2691284631221	141  0.000526909  0.00103051  1.90287e-06
142  105.36160167493878  0.42138577529952603  1079.3082533020679	142  0.000363234  0.000699457  2.23679e-06
143  105.57805803773353  0.41470071632417144  950.67058503228589	143  0.000257465  0.000532659  2.57543e-06
144  105.83498084775005  0.40908047833695438  839.88953302964512	144  0.000189695  0.000436599  2.95688e-06
145  106.14169274645636  0.40390671327072614  740.59541391504581	145  0.000143714  0.000393844  3.40412e-06
146  106.50705686411321  0.39691366036011233  641.9917786532933	146  0.000108179  0.000403182  3.99431e-06
147  106.91168313945289  0.38801941949653962  550.6067449778435	147  8.15915e-05  0.000468725  4.74395e-06
148  107.28530008118111  0.37986973905526239  482.41508480283693	148  6.3889e-05  0.000576399  5.42747e-06
149  107.63562569743993  0.37171968408226225  427.30929167410505	149  5.16084e-05  0.000719286  6.15904e-06
150  107.96648270564566  0.36462485404568207  384.75492498150004	150  4.28637e-05  0.000893585  6.84556e-06
151  108.28402736392216  0.35764167813172659  348.38609890453631	151  3.64794e-05  0.00109831  7.63898e-06
152  108.59119334455617  0.35130318209856709  318.69320980805236	152  3.17414e-05  0.00133209  8.48057e-06
153  108.89112488794294  0.34471170701435611  291.84661363944065	153  2.81708e-05  0.00159453  9.57683e-06
154  109.1845857402662  0.3390485127332859  269.82922236784208	154  2.5457e-05  0.00188375  1.0718e-05
155  109.47417521969471  0.33333895489698767  249.9205364547565	155  2.33695e-05  0.0021999  1.21495e-05
156  109.75923499766097  0.32781495082172346  232.18377699921427	156  2.17675e-05  0.00254011  1.38541e-05
157  110.04160348335634  0.32255839054456642  216.36756664515988	157  2.05271e-05  0.00290427  1.58495e-05
158  110.32083843037621  0.31759046069163882  202.42875722152232	158  1.9572e-05  0.00328976  1.81418e-05
