    1   3.65e-01
    2   5.74e-19
    3   3.61e-07
    4   3.34e-02
    5   0.00e+00
    6   2.52e-28
    7   3.03e-09
    8   6.00e-09
    9   4.96e-10
   10   9.91e-68
   11   3.36e-15
   12   2.31e-07
   13   2.74e-05
   14   1.35e-04
   15   9.94e-06
   16   8.96e-03
   17   3.24e-04
   18   6.15e-08
   19   3.21e-10
   20   1.24e-02
   21   4.22e-06
   22   5.64e-06
   23   7.57e-07
   24   3.30e-03
   25   8.64e-04
   26   2.30e-06
   27   6.23e-07
   28   6.47e-06
   29   3.28e-07
   30   2.18e-07
   31   7.29e-08
   32   3.44e-06
   33   2.71e-08
   34   1.52e-07
   35   2.79e-08
   36   5.34e-07
   37   8.92e-09
   38   9.98e-08
   39   2.47e-08
   40   4.15e-07
   41   2.24e-21
   42   6.03e-29
   43   6.05e-49
   44   5.52e-50
   45   3.76e-64
   46   0.00e+00
   47   0.00e+00
   48   0.00e+00
   49   0.00e+00
   50   0.00e+00
   51   0.00e+00
   52   0.00e+00
   53   0.00e+00
   54   0.00e+00
   55   0.00e+00
   56   0.00e+00
   57   0.00e+00
   58   0.00e+00
   59   0.00e+00
   60   0.00e+00
