    1   2.51e-01
    2   2.40e-19
    3   5.26e-16
    4   4.03e-02
    5   0.00e+00
    6   1.85e-28
    7   2.57e-08
    8   6.88e-14
    9   7.19e-13
   10   2.53e-21
   11   2.31e-10
   12   9.55e-08
   13   3.74e-07
   14   1.24e-04
   15   6.58e-03
   16   5.10e-06
   17   4.46e-05
   18   2.70e-03
   19   5.41e-07
   20   2.36e-05
   21   1.20e-07
   22   7.25e-03
   23   6.02e-04
   24   1.65e-04
   25   3.56e-04
   26   7.27e-05
   27   5.16e-04
   28   3.28e-04
   29   1.11e-03
   30   2.19e-03
   31   2.72e-03
   32   4.86e-04
   33   2.49e-04
   34   2.62e-04
   35   2.16e-04
   36   1.61e-05
   37   6.75e-05
   38   1.49e-05
   39   3.96e-06
   40   1.04e-06
   41   1.33e-08
   42   3.92e-09
   43   2.06e-09
   44   2.11e-10
   45   4.27e-12
   46   6.24e-14
   47   3.32e-15
   48   2.10e-17
   49   3.29e-20
   50   3.54e-23
   51   4.32e-26
   52   1.37e-41
   53   7.89e-44
   54   7.78e-47
   55   0.00e+00
   56   0.00e+00
   57   0.00e+00
   58   0.00e+00
   59   0.00e+00
   60   0.00e+00
